App,Rating,Installs,Price,"DSLU (days since dec 1, 202)",Reviews,Size,Type,Current Ver,Android Ver,Category,Genres,Content Rating
Photo Editor & Candy Camera & Grid & ScrapBook,4.1,10000,0,1789,159,1.90E+07,Free,1.0.0,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Coloring book moana,3.9,500000,0,1781,967,1.40E+07,Free,2.0.0,4.0.3 and up,ART_AND_DESIGN,Art & Design;Pretend Play,Everyone
"U Launcher Lite â€“ FREE Live Cool Themes, Hide Apps",4.7,5000000,0,1583,87510,8.7,Free,1.2.4,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Sketch - Draw & Paint,4.5,50000000,0,1637,215644,2.50E+07,Free,Varies with device,4.2 and up,ART_AND_DESIGN,Art & Design,Teen
Pixel Draw - Number Art Coloring Book,4.3,100000,0,1625,967,2.8,Free,1.1,4.4 and up,ART_AND_DESIGN,Art & Design;Creativity,Everyone
Paper flowers instructions,4.4,50000,0,2076,167,5.6,Free,1,2.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Smoke Effect Photo Maker - Smoke Editor,3.8,50000,0,1680,178,1.90E+07,Free,1.1,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Infinite Painter,4.1,1000000,0,1631,36815,2.90E+07,Free,6.1.61.1,4.2 and up,ART_AND_DESIGN,Art & Design,Everyone
Garden Coloring Book,4.4,1000000,0,1898,13791,3.30E+07,Free,2.9.2,3.0 and up,ART_AND_DESIGN,Art & Design,Everyone
Kids Paint Free - Drawing Fun,4.7,10000,0,1612,121,3.1,Free,2.8,4.0.3 and up,ART_AND_DESIGN,Art & Design;Creativity,Everyone
Text on Photo - Fonteee,4.4,1000000,0,1861,13880,2.80E+07,Free,1.0.4,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
Name Art Photo Editor - Focus n Filters,4.4,1000000,0,1584,8788,1.20E+07,Free,1.0.15,4.0 and up,ART_AND_DESIGN,Art & Design,Everyone
Tattoo Name On My Photo Editor,4.2,10000000,0,1704,44829,2.00E+07,Free,3.8,4.1 and up,ART_AND_DESIGN,Art & Design,Teen
Mandala Coloring Book,4.6,100000,0,1619,4326,2.10E+07,Free,1.0.4,4.4 and up,ART_AND_DESIGN,Art & Design,Everyone
3D Color Pixel by Number - Sandbox Art Coloring,4.4,100000,0,1581,1518,3.70E+07,Free,1.2.3,2.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Learn To Draw Kawaii Characters,3.2,5000,0,1639,55,2.7,Free,NaN,4.2 and up,ART_AND_DESIGN,Art & Design,Everyone
Photo Designer - Write your name with shapes,4.7,500000,0,1584,3632,5.5,Free,3.1,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
350 Diy Room Decor Ideas,4.5,10000,0,1850,27,1.70E+07,Free,1,2.3 and up,ART_AND_DESIGN,Art & Design,Everyone
FlipaClip - Cartoon animation,4.3,5000000,0,1581,194216,3.90E+07,Free,2.2.5,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone
ibis Paint X,4.6,10000000,0,1585,224399,3.10E+07,Free,5.5.4,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
Logo Maker - Small Business,4,100000,0,1686,450,1.40E+07,Free,4,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
Boys Photo Editor - Six Pack & Men's Suit,4.1,100000,0,1717,654,1.20E+07,Free,1.1,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Superheroes Wallpapers | 4K Backgrounds,4.7,500000,0,1603,7699,4.2,Free,2.2.6.2,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone 10+
HD Mickey Minnie Wallpapers,4.7,50000,0,1608,118,2.30E+07,Free,1.1.3,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
Harley Quinn wallpapers HD,4.8,10000,0,1681,192,6,Free,1.5,3.0 and up,ART_AND_DESIGN,Art & Design,Everyone
Colorfit - Drawing & Coloring,4.7,500000,0,1877,20260,2.50E+07,Free,1.0.8,4.0.3 and up,ART_AND_DESIGN,Art & Design;Creativity,Everyone
Animated Photo Editor,4.1,100000,0,1716,203,6.1,Free,1.03,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Pencil Sketch Drawing,3.9,10000,0,1603,136,4.6,Free,6,2.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Easy Realistic Drawing Tutorial,4.1,100000,0,1927,223,4.2,Free,1,2.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Pink Silver Bow Keyboard Theme,4.2,100000,0,1603,1120,9.2,Free,6.7.12.2018,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Art Drawing Ideas,4.1,50000,0,1645,227,5.2,Free,1.2,2.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Anime Manga Coloring Book,4.5,100000,0,1596,5035,1.10E+07,Free,2.2,4.0 and up,ART_AND_DESIGN,Art & Design,Everyone
Easy Origami Ideas,4.2,100000,0,1790,1015,1.10E+07,Free,1.1.0,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
I Creative Idea,4.7,10000,0,1679,353,4.2,Free,1.6,4.1 and up,ART_AND_DESIGN,Art & Design,Teen
How to draw Ladybug and Cat Noir,3.8,100000,0,1604,564,9.2,Free,2.1,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
UNICORN - Color By Number & Pixel Art Coloring,4.7,500000,0,1582,8145,2.40E+07,Free,1.0.9,4.4 and up,ART_AND_DESIGN,Art & Design;Creativity,Everyone
PIP Camera - PIP Collage Maker,4.7,10000,0,1828,158,1.10E+07,Free,1.3,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone
How To Color Disney Princess - Coloring Pages,4,500000,0,1706,591,9.4,Free,1,4.0 and up,ART_AND_DESIGN,Art & Design,Everyone
Drawing Clothes Fashion Ideas,4.2,10000,0,1595,117,1.50E+07,Free,2.0.1,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Sad Poetry Photo Frames 2018,4.5,100000,0,1704,176,1.00E+07,Free,1,4.0.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Paint Splash!,3.8,100000,0,1691,2206,1.2,Free,1.46,4.1 and up,ART_AND_DESIGN,Art & Design;Creativity,Everyone
Popsicle Sticks and Similar DIY Craft Ideas,4.2,10000,0,1793,26,1.20E+07,Free,1.0.0,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
"Canva: Poster, banner, card maker & graphic design",4.7,10000000,0,1584,174531,2.40E+07,Free,1.6.1,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
Install images with music to make video without Net - 2018,4.6,100000,0,1843,1070,2.60E+07,Free,1.6,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
Little Teddy Bear Colouring Book Game,4.2,100000,0,1810,85,8,Free,2.0.0,4.1 and up,ART_AND_DESIGN,Art & Design,Everyone
How To Draw Food,4.3,100000,0,1648,845,7.9,Free,1,2.3 and up,ART_AND_DESIGN,Art & Design,Everyone
Monster Truck Stunt 3D 2019,4.2,100000,0,1666,367,2.50E+07,Free,1,4.0.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Real Tractor Farming,4,1000000,0,1589,1598,5.60E+07,Free,11,4.1 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Ultimate F1 Racing Championship,3.8,100000,0,1589,284,5.70E+07,Free,3,4.1 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
American Muscle Car Race,3.9,100000,0,1589,129,3.50E+07,Free,3,4.1 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Offroad Oil Tanker Driver Transport Truck 2019,4.3,100000,0,1584,542,3.30E+07,Free,4,4.1 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,4.9,100000,0,1597,10479,3.30E+07,Free,1.7.1,4.0 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Gas Prices (Germany only),4.4,50000,0,1586,805,5.6,Free,2.5.1,4.4 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Extreme Rally Championship,4.2,100000,0,1589,129,5.40E+07,Free,3,4.1 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Restart Navigator,4,100000,0,3019,1403,201000,Free,1.0.1,2.2 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
"REG - Check the regnumber, find information about Swedish vehicles",3.9,100000,0,1585,3971,3.6,Free,2.493,4.4 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
CityBus Lviv,4.6,10000,0,1607,534,5.7,Free,1.9.1,4.0.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
CDL Practice Test 2018 Edition,4.9,100000,0,1612,7774,1.70E+07,Free,1.7,4.2 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",4.3,1000000,0,1587,38846,8.6,Free,2.20 Build 02,4.1 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Free VIN Report for Used Cars,4.6,100000,0,1633,2431,2.4,Free,1.37,4.0 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
DMV Permit Practice Test 2018 Edition,4.9,100000,0,1612,6090,2.70E+07,Free,1.7,4.2 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Check Vehicle Tax,3.9,10000,0,1585,295,2.7,Free,0.2.1,4.4 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Used Cars Mexico,4,50000,0,2239,190,2.5,Free,1,2.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Used cars for sale - Trovit,4.2,5000000,0,1599,52530,7,Free,4.47.3,4.0.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",4.8,5000000,0,1582,116986,3.50E+07,Free,1.9.7,4.0.3 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
SK Enca Direct Malls - Used Cars Search,3.6,500000,0,1582,1379,1.60E+07,Free,2.2.21,4.2 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
"Android Auto - Maps, Media, Messaging & Voice",4.2,10000000,0,1604,271920,1.60E+07,Free,Varies with device,5.0 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Teen
Tickets SDA 2019 + Exam RF,4.8,500000,0,1588,7021,1.70E+07,Free,1.79,4.0 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
Super Cars Wallpapers And Backgrounds,4.6,50000,0,1631,197,3.4,Free,1.3,4.0 and up,AUTO_AND_VEHICLES,Auto & Vehicles,Everyone
