drink,Volume (ml),Calories,Caffeine (mg),type,Calories (per ml),Caffeine (mg/ml)
Perrier Energize,250.19181,35,99,Water,0.139892669,0.395696406
3 Water,499.79215,0,50,Water,0,0.100041587
Heroec Energy Water,499.79215,0,60,Water,0,0.120049905
Caribou BOUsted Sparkling Water,340.09525,0,75,Water,0,0.220526455
Phocus Sparkling Water,340.09525,0,75,Water,0,0.220526455
Poland Spring Sparkling Energy Water,340.09525,35,75,Water,0.102912346,0.220526455
Perrier Sparkling Water,329.744525,0,0,Water,0,0
VitaminWater Energy,591.47,100,50,Water,0.169070283,0.084535141
VitaRain Zero Enhanced Water,591.47,0,42,Water,0,0.071009519
Water Joe,591.47,0,70,Water,0,0.118349198
Polar Frost Plus Energy,502.7495,10,67,Water,0.019890621,0.133267164
Hint Caffeine Kick Water,473.176,0,60,Water,0,0.126802712
Sparkling Ice +Caffeine,473.176,5,70,Water,0.010566893,0.147936497
AHA Sparkling Water,354.882,0,30,Water,0,0.084535141
Arti Sparkling Water,354.882,0,120,Water,0,0.338140565
Bubbl'r Sparkling Water,354.882,5,69,Water,0.01408919,0.194430825
Bubly Bounce Sparkling Water,354.882,0,35,Water,0,0.098624331
Bubly Sparkling Water,354.882,0,0,Water,0,0
GURU Sparkling Energy Water,354.882,0,100,Water,0,0.281783804
La Croix Sparkling Water,354.882,0,0,Water,0,0
Limitless Sparkling Water,354.882,0,35,Water,0,0.098624331
Pep Talk Sparkling Water,354.882,0,55,Water,0,0.154981092
Polar Seltzer Water,354.882,0,0,Water,0,0
Yerbae Sparkling Water,354.882,0,100,Water,0,0.281783804
Tonic Water,295.735,110,0,Water,0.371954622,0
MiO Energy Water Enhancer,236.588,0,60,Water,0,0.253605424
Costa Coffee,256.993715,0,277,Coffee,0,1.077847371
Coffee Friend Brewed Coffee,250.19181,0,145,Coffee,0,0.579555342
Hell Energy Coffee,250.19181,150,100,Coffee,0.599540009,0.399693339
Killer Coffee (AU),250.19181,0,430,Coffee,0,1.718681359
Nescafe Gold,250.19181,0,66,Coffee,0,0.263797604
Espresso Monster,248.4174,170,160,Coffee,0.684332096,0.644077267
Dunkin Donuts Shot In The Dark,239.54535,80,134,Coffee,0.33396599,0.559393034
Illy Issimo Cafe,201.0998,45,155,Coffee,0.223769492,0.770761582
Starbucks Doubleshot Espresso,192.22775,140,120,Coffee,0.728302755,0.624259505
TrueStart Performance Coffee,150.82485,0,95,Coffee,0,0.62986968
Bizzy Cold Brew,78.961245,0,125,Coffee,0,1.58305508
Zola Coconut Water Espresso,517.53625,0,125,Coffee,0,0.241528975
Barista Bros Iced Coffee,500.087885,204,140,Coffee,0.407928298,0.279950793
Dare Iced Coffee,500.087885,429,160,Coffee,0.857849216,0.319943763
V Iced Coffee,500.087885,345,155,Coffee,0.68987874,0.309945521
Bottled Iced Coffee Dunkin Donuts,405.15695,260,171,Coffee,0.64172662,0.422058661
Starbucks Bottled Frappuccino,405.15695,300,110,Coffee,0.740453792,0.271499724
Stok Cold Brew,405.15695,0,145,Coffee,0,0.357885999
Wide Awake Iced Coffee Drinks,405.15695,290,30,Coffee,0.715771999,0.074045379
Caribou Canned Cold Brew,340.09525,10,177,Coffee,0.029403527,0.520442435
McDonalds Iced Coffee,340.09525,180,133,Coffee,0.529263493,0.391066914
Premier Protein Cafe Latte,340.09525,160,120,Coffee,0.470456438,0.352842329
Stumptown Cold Brew Coffee,310.52175,3,279,Coffee,0.009661159,0.898487787
Espresso Shot,44.36025,0,77,Coffee,0,1.735788234
Peet's Coffee Espresso,44.36025,0,70,Coffee,0,1.577989303
Peet's Decaf Espresso,44.36025,0,10,Coffee,0,0.225427043
Gourmesso Coffee Pods,39.924225,0,65,Coffee,0,1.628084202
Nespresso Coffee Capsules,39.924225,0,60,Coffee,0,1.502846956
Stok Coffee Shots,12.716605,10,40,Coffee,0.786373407,3.145493628
Starbucks Bottled Iced Coffee,1419.528,240,640,Coffee,0.169070283,0.450854087
Baskin Robbins Cappuccino Blast,709.764,470,234,Coffee,0.66219194,0.329687051
Dunkin' Cold Brew,709.764,5,260,Coffee,0.007044595,0.366318945
Dunkin' Donuts Iced Coffee,709.764,20,297,Coffee,0.02817838,0.418448949
Dunkin' Donuts Iced Latte,709.764,100,166,Coffee,0.140891902,0.233880557
Dutch Bros Coffee (Classic),591.47,10,187,Coffee,0.016907028,0.316161428
Tim Hortons Large Brewed Coffee,591.47,5,270,Coffee,0.008453514,0.456489763
7 Eleven Brewed Coffee,473.176,5,280,Coffee,0.010566893,0.591745989
Arby's Jamocha Shake,473.176,830,12,Coffee,1.754104181,0.025360542
Biggby Brewed Coffee,473.176,0,200,Coffee,0,0.422675706
Biggby Creamy Lattes,473.176,387,100,Coffee,0.817877492,0.211337853
Biggby Iced Coffee,473.176,0,155,Coffee,0,0.327573672
Caribou Brewed Coffee,473.176,5,305,Coffee,0.010566893,0.644580452
Coffee Bean & Tea leaf Coffee,473.176,5,333,Coffee,0.010566893,0.703755051
Einstein Bros Coffee,473.176,0,206,Coffee,0,0.435355977
Latte,473.176,160,154,Coffee,0.338140565,0.325460294
McDonalds (McCafe) Latte,473.176,190,142,Coffee,0.401541921,0.300099751
McDonalds (McCafe) Mocha,473.176,380,167,Coffee,0.803083842,0.352934215
McDonalds Coffee,473.176,0,145,Coffee,0,0.306439887
Panera Bread Coffee,473.176,15,189,Coffee,0.031700678,0.399428542
Peet's Brewed Coffee,473.176,5,267,Coffee,0.010566893,0.564272068
Peet's Caffe Americano,473.176,10,140,Coffee,0.021133785,0.295872994
Peet's Caffe Latte,473.176,190,140,Coffee,0.401541921,0.295872994
Peet's Caffe Mocha,473.176,390,165,Coffee,0.824217627,0.348707458
Peet's Cappuccino,473.176,140,140,Coffee,0.295872994,0.295872994
Peet's Iced Coffee,473.176,0,150,Coffee,0,0.31700678
Peet's Iced Latte,473.176,120,140,Coffee,0.253605424,0.295872994
Peet's Iced Mocha,473.176,310,165,Coffee,0.655147345,0.348707458
Starbucks Caramel Macchiato,473.176,250,150,Coffee,0.528344633,0.31700678
Starbucks Cold Brew Coffee,473.176,5,205,Coffee,0.010566893,0.433242599
Starbucks Decaf Coffee,473.176,0,25,Coffee,0,0.052834463
Starbucks Grande Caffe Americano,473.176,15,225,Coffee,0.031700678,0.47551017
Starbucks Grande Caffe Latte,473.176,190,150,Coffee,0.401541921,0.31700678
Starbucks Grande Caffe Mocha,473.176,370,175,Coffee,0.781950057,0.369841243
Starbucks Grande Cappuccino,473.176,140,150,Coffee,0.295872994,0.31700678
Starbucks Grande Coffee,473.176,5,310,Coffee,0.010566893,0.655147345
Starbucks Iced Americano,473.176,15,225,Coffee,0.031700678,0.47551017
Starbucks Nitro Cold Brew Coffee,473.176,5,280,Coffee,0.010566893,0.591745989
